ticker,profit_margin,debt_ratio,roe,asset_turnover,ocf_margin,rd_intensity,roa,equity_multiplier
AMD,0.12514795461762754,0.1810441203234277,0.06881061604152447,0.4502898889842186,0.22255261410548804,0.23358064609255463,0.056352858591373525,1.221067001063509
AME,0.19998902868162047,0.33849338383597294,0.13925786068136098,0.46062524929916165,0.24344477238297574,0.03190059445089092,0.09211999619356862,1.511700677763199
AMGN,0.20981741993415146,0.9044223169143135,0.8906213906213907,0.40570286799284655,0.27095861337106475,0.0,0.0851235290221447,10.462693462693462
AMPX,0.6029776335072797,0.3382985639711647,0.4240620334248423,0.4653613017955141,0.426428894276205,0.12915861993398256,0.28060245648252613,1.5112555989018928
AMT,0.24693271705841457,0.8361254241150554,0.7196440793976728,0.16845280295741125,0.5133119140221333,0.0,0.0415965083303793,17.300588637919233
AMZN,0.05293283575597832,0.5423703860174686,0.10639227891037521,0.9198120001152196,0.14778743356211452,0.0,0.04868825752847683,2.1851732699234185
ANF,0.09625767048238114,0.6036293216528877,0.3610818472891491,1.486865992409668,0.11756697121997793,0.0,0.14312225674882845,2.5228909569447855
AON,0.21506315115534602,0.8119880277252678,0.3951026518391788,0.3383152173913043,0.20260753157557768,0.0,0.07275913673597983,5.430282292557742
APA,0.15553145336225596,0.6569449918360453,0.23535204332840964,0.5191149147007489,0.49295010845986986,0.0,0.080738697145431,2.9149844083374363
APD,0.03277313018700207,0.5774473629732462,0.02625641435217539,0.2931672329180823,0.2705590124031137,0.008000132920173129,0.00960800789098747,2.7327636124034105
AR,0.06350507862926134,0.4453108942701988,0.042344605612640904,0.3598734824232036,0.21245769944801038,0.0,0.022853793797871648,1.8528479773272664
ASPI,6.7022935972158155,0.4721135697361552,0.7829645703425405,0.047887635034737565,1.584133506645981,0.5181768627615414,0.32095698967912933,2.4394688245465366
ASTS,4.821624975323613,0.5229077851390409,0.14293208489649192,0.014142905204564389,1.0084463746862573,0.39644378014044385,0.06819178495796197,2.0960308486514165
ATNI,0.0204759778838559,0.6170336362560616,0.03355000765262486,0.4350654473259888,0.18398296644802362,0.0,0.00890839047747682,3.766113276853961
